fade,"FADE IN, STREET CORNER WITH BAKERY"
description,"Tramp is sitting in the grass leaning against a tree, He is leaningn towards someone in front of them and asks ""Where do you live?"""
titles,"""Where do you live?"""
description,"Tramp is sitting against a tree in the grass, leaning forward and smiling. "
description,Gaman is sitting in a field smiling with a flower in between her teeth. She removes to begin speaking.
titles,"""No place - anywhere."""
description,Gaman is sitting in a field. She says something and smiles brightly as she brings a flower up to her face. 
description,"A man is sitting down outside and looking down. He raises his eyebrows quizzically, looks at the camera and scratches his head. "
description,"A well dressed man leaves his house with a lunchbox. A woman with an apron follows behind. They hug and kiss emphatically, and he walks away in an exaggerated style."
description,The Tramp and Gamon are sitting on the sidewalk in front of a nice suburban home. A wife in a plaid dress and apron enthusiastically and lovingly waves goodbye to her husband as he walks on the sidewalk carrying a briefcast past Gamon and the Tramp. Gamon and the Tramp watch him as he walks past them and off screen. The wife smiles and clasps her hands with joy. 
description,A woman with a dress and apron on is on her front lawn. Her arms are strectched out in excitement as she turns around and skips back into her home.
description,"A man is sitting next to a tree, his back is turned towards as her faces the other direction. He turns and dances while sitting, grabs grass and throws it over his head in celebration while smiling. He places his clasped hands between his legs."
description,A woman is sitting outside laughing. She has a flower in her mouth and lowers her head as she laughs. She swats her hand in front of her face while still laughing. 
description,Tramp is sitting in the grass against a tree. He laughs hard and throws his head back and hits the back of his head on the tree. He then holds his head in slight pain and continues to smile. 
titles,"""Can you imagine us in a little home like that?"" "
description,"Tramp is sitting in the grass leaning against a tree, leaning forward towards someone. He motions and points in the direction behind him as he nods and smiles. "
description,"A woman is sitting outside, laughing with her hand on her neck. She suddnely stops smiling, leans upright and straightens her head. "
description,Tramp is sitting in the grass leaning against a tree gesturing towards someone sitting in front of him. He waves his hand and shrugs his shoulders. 
description,"Tramp walks up to an open window with branches spilling in, He reaches and grabs a fruit from a branch. "
description,"Tramp is in someone's ornately decorated living room. He is semi-well dressed, wearing a jacket and a hankerchief around his neck. He is walking back in forth with an apple in his hand. While he is taking a bite of his apple, a pleasant woman in a dress and an apron walks into the living room, ans says something to Tramp and walks away. Tramp then tosses the apple in the air, sidekicks it out of a near window and follows her. On his way he wipes his hands on the curtain in the doorway. "
description,"The Tramp is well dressed and Gaman is in a nice dress and apron. They are in a kitchen with a set table. The Tramp picks up a small pitcher, goes to the open door and calls for someone. A cow begins to approach, he holds his hand up to stop so that the cow's udders are right in the doorway. He places the pitcher right under the cow's udders. Meanwhile Gaman is begining to put food on plates from a frying pan. "
description,A woman with a dress and apron on is standing in front of a pan on a stove top. She uses a fork to flip meat the meat over.
description,Tramp is leaning in an open doorway and eating grapes that are hanging in front. There is also a cow's bum that is in frame in front of the open doorway. 
description,Tramp and Gaman are well dressed in a kitchen. Gaman is at the sink while Tramp is standing in a doorway where a cow is being milked. He bends down to grab the glass from the teet and pats the cow on the back. The cow moves along as Tramp motions to shoo away the cow with this feet. Gaman and Tramp both sit at the table as they look at each other with satisfaction at the food in front of them. 
description,A man and woman sit at a  kitchen table with a steak in the middle. He places his napkin in his shirt pocket and she places hers on her lap. They both place their fork in the steak and vigorously cut the steak. 
description,"The Tramp is sitting outside agaist a tree. He imitates cutting food on a plate, takes a bite. He smiless and grabs his knees."
description,"Tramp and Gaman are sitting outdoors. Tramp smiles to Gaman and asks her a question. Gaman looks distressed. She rubs her belly and says ""Gee, I'm hungry"". Tramp seems to have suggested something because Gaman becomes very happy and turns to Tramp very excitedly with her hands clasped. "
description,"The Tramp sits at the base of a tree, with his left arm over his knee, looking despondent. He turns to face the camera, slaps his knee, says ""I'll do it!."" A police officer appears behind him, as he raises his arm and his gaze into the air."
titles,"""I'll do it! We'll get a home, even if I have to work for it."""
description,"Tramp is laying in the grass, leaning on a tree. He shoots one arm up in confidence when Gaman who is out of frame, taps him on the shoulders. She points to a police officer behind him. She grabs Tramp's hand and they rush to get up. "
